Date,ECH,EIDO,EIRL,EIS,ENZL,EPHE,EPOL,EPU,ERUS,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,FXI,THD,TUR
6/27/2011,64.369225,27.86319,19.295364,45.552917,22.268063,22.760517,28.477285,31.763784,43.363468,16.851765,25.526772,22.914843,21.98715,14.308093,27.631952,36.37598,10.846918,21.953753,42.600807,17.577028,17.708506,28.094328,21.409967,20.276411,24.114452,25.923223,52.300339,55.87862,57.592243,54.178192,35.727608,50.473793,48.775387
6/28/2011,65.35421,28.221792,19.428926,46.213982,22.352119,23.09107,28.605055,31.875404,44.289093,17.187429,25.967035,22.999338,22.295984,14.355521,27.980255,36.809452,10.894806,22.080559,43.317993,17.705271,18.031986,28.520315,21.780666,20.475197,24.212809,26.196102,53.490776,56.456062,59.096859,55.396748,35.938519,51.143909,49.772186
6/29/2011,66.108467,28.463842,19.856327,46.789188,22.443178,22.939957,29.116148,31.926901,44.49305,17.454594,26.458096,23.89043,22.664867,14.426668,28.494417,37.387428,11.11829,22.25808,43.432755,18.055786,18.446705,29.052814,22.258457,20.735153,24.524282,26.605413,54.444874,57.140106,59.571144,56.086205,35.811974,51.871933,50.32972
6/30/2011,66.880463,28.696932,19.998793,47.020988,22.821436,23.185505,29.371685,32.296043,44.838203,17.84506,26.813688,24.412792,23.068066,14.640102,29.2076,37.676407,11.261958,22.49478,43.83437,18.431948,18.878012,29.919003,22.769201,20.995108,24.884937,26.999571,54.759991,57.744202,59.979996,56.976067,36.233788,52.55859,50.346603
7/1/2011,67.182167,29.369308,20.435101,47.544685,22.982544,23.525496,29.770977,32.330391,45.434372,17.975218,27.008421,24.673973,23.282532,14.766584,29.672005,38.001514,11.341773,22.435608,44.322056,18.679874,19.168318,30.437288,22.983385,21.270351,25.229191,27.272438,55.372711,58.694759,60.642365,57.433052,36.529049,52.757156,50.954819
7/5/2011,67.013573,28.974842,20.435101,47.407322,22.709356,23.903269,29.443565,33.133381,45.528503,17.680653,27.084625,24.650927,23.119535,14.766584,29.091503,38.073757,11.174162,22.638493,44.149937,18.440493,18.886309,29.755699,22.59621,21.132727,25.016079,27.272438,55.057602,59.103405,60.421574,57.505203,36.250664,55.437618,50.828102
7/6/2011,66.631989,28.786581,20.034407,47.106831,22.534241,23.704935,28.868582,32.618095,45.261791,17.564198,26.957624,24.305248,22.99086,14.687531,28.146105,38.290497,11.030492,22.435608,43.97781,18.218218,18.637472,29.088314,22.332602,20.995108,25.016079,27.196644,54.900043,59.263325,59.890034,57.360889,35.786659,54.717861,49.932693
7/7/2011,67.253159,29.315517,20.052219,47.750725,22.961527,23.837154,29.802927,33.262192,46.265865,17.86561,27.118488,24.86602,23.222483,14.758677,28.32855,38.543365,11.182141,22.401794,44.350742,18.389204,18.803364,29.315512,22.522066,21.300936,25.130829,27.333088,55.512764,60.356022,60.102657,58.250763,36.107239,56.041546,51.064644
7/8/2011,66.454536,29.512749,19.571392,47.742138,22.891483,23.733273,29.25989,33.837612,45.779518,17.776556,27.042292,24.243793,22.8536,14.703344,27.250475,38.21825,10.950679,22.393337,44.178619,18.12418,18.446705,28.30732,22.044277,21.270351,24.884937,27.196644,54.95256,59.93848,58.998726,57.224598,35.660122,55.851269,50.633816
7/11/2011,65.922127,29.109322,18.948103,46.780605,22.485207,23.393282,27.758558,32.867153,44.430302,17.276484,26.475029,23.099205,21.79842,14.395042,25.558722,37.748653,10.519674,21.979116,43.231934,17.320559,17.617268,26.844742,20.907467,20.903358,24.425922,26.4993,54.147255,58.357185,57.281517,55.492962,34.824928,54.502762,49.172421
